Paradigm,Nationality,Participant_ID,Culture_Closeness_Q1,Culture_Closeness_Q2,Culture_Closeness_Q3,Competence_Q1,Competence_Q2,Competence_Q3,Competence_Q4,Competence_Q5,Competence_Q6,Culture_Closeness_Q1_norm,Culture_Closeness_Q2_norm,Culture_Closeness_Q3_norm,Culture_Closeness_Avg,Competence_Q1_norm,Competence_Q2_norm,Competence_Q3_norm,Competence_Q4_norm,Competence_Q5_norm,Competence_Q6_norm,Competence_Overall,all_average
B,German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,2,3,2,5,7,7,5,5,6,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.5,0.75,0.75,0.5,0.5,0.625,0.6041666666666666,0.4131944444444444
A,Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,2,2,3,5,6,6,4,8,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.625,0.625,0.375,0.875,0.625,0.6041666666666666,0.4131944444444444
B,Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,2,2,3,6,6,5,5,4,5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.625,0.625,0.5,0.5,0.375,0.5,0.5208333333333334,0.3715277777777778
F,Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,2,2,4,6,7,7,6,4,6,0.1666666666666666,0.1666666666666666,0.5,0.2777777777777777,0.625,0.75,0.75,0.625,0.375,0.625,0.625,0.4513888888888888
F,Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,1,1,1,6,6,7,6,8,6,0.0,0.0,0.0,0.0,0.625,0.625,0.75,0.625,0.875,0.625,0.6875,0.34375
B,Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,1,1,2,8,8,8,7,8,6,0.0,0.0,0.1666666666666666,0.0555555555555555,0.875,0.875,0.875,0.75,0.875,0.625,0.8125,0.4340277777777778
A,Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,1,1,3,8,8,7,8,9,8,0.0,0.0,0.3333333333333333,0.1111111111111111,0.875,0.875,0.75,0.875,1.0,0.875,0.875,0.4930555555555556
A,German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,1,3,7,6,8,9,8,9,6,0.0,0.3333333333333333,1.0,0.4444444444444444,0.625,0.875,1.0,0.875,1.0,0.625,0.8333333333333334,0.6388888888888888
B,German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,5,4,6,6,9,9,7,9,8,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.625,1.0,1.0,0.75,1.0,0.875,0.875,0.7708333333333333
F,German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,4,2,6,7,9,9,6,9,8,0.5,0.1666666666666666,0.8333333333333334,0.5,0.75,1.0,1.0,0.625,1.0,0.875,0.875,0.6875
F,German,8a9560ba-939a-4096-ab6b-3d829874c1ab,4,4,3,8,8,5,8,5,5,0.5,0.5,0.3333333333333333,0.4444444444444444,0.875,0.875,0.5,0.875,0.5,0.5,0.6875,0.5659722222222222
B,German,8a9560ba-939a-4096-ab6b-3d829874c1ab,3,3,3,8,9,9,8,9,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.875,1.0,1.0,0.875,1.0,0.875,0.9375,0.6354166666666666
A,German,8a9560ba-939a-4096-ab6b-3d829874c1ab,4,4,3,2,2,5,3,5,5,0.5,0.5,0.3333333333333333,0.4444444444444444,0.125,0.125,0.5,0.25,0.5,0.5,0.3333333333333333,0.3888888888888888
B,German,6dae70e5-448b-415e-8971-daab8041bce0,1,1,2,4,7,6,5,7,6,0.0,0.0,0.1666666666666666,0.0555555555555555,0.375,0.75,0.625,0.5,0.75,0.625,0.6041666666666666,0.3298611111111111
A,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,6,7,5,5,7,6,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.625,0.75,0.5,0.5,0.75,0.625,0.625,0.4513888888888888
F,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,4,6,7,5,6,6,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.375,0.625,0.75,0.5,0.625,0.625,0.5833333333333334,0.4305555555555556
F,Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,2,2,3,3,7,8,4,3,4,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.25,0.75,0.875,0.375,0.25,0.375,0.4791666666666667,0.3506944444444444
A,Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,1,2,3,2,2,8,2,3,3,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.125,0.125,0.875,0.125,0.25,0.25,0.2916666666666667,0.2291666666666666
B,Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,2,3,2,4,8,9,5,6,5,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.375,0.875,1.0,0.5,0.625,0.5,0.6458333333333334,0.4340277777777778
B,Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,1,2,3,4,7,6,7,5,5,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.375,0.75,0.625,0.75,0.5,0.5,0.5833333333333334,0.375
F,Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,1,2,2,4,6,5,5,7,6,0.0,0.1666666666666666,0.1666666666666666,0.1111111111111111,0.375,0.625,0.5,0.5,0.75,0.625,0.5625,0.3368055555555556
A,Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,1,2,1,4,4,5,5,4,4,0.0,0.1666666666666666,0.0,0.0555555555555555,0.375,0.375,0.5,0.5,0.375,0.375,0.4166666666666667,0.2361111111111111
A,German,101da011-5202-484f-bbcb-37ef039a2d7b,2,3,4,6,7,8,7,7,6,0.1666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.625,0.75,0.875,0.75,0.75,0.625,0.7291666666666666,0.53125
B,German,101da011-5202-484f-bbcb-37ef039a2d7b,2,3,5,8,9,8,9,9,9,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.3888888888888888,0.875,1.0,0.875,1.0,1.0,1.0,0.9583333333333334,0.6736111111111112
F,German,101da011-5202-484f-bbcb-37ef039a2d7b,3,4,6,8,9,8,8,9,8,0.3333333333333333,0.5,0.8333333333333334,0.5555555555555555,0.875,1.0,0.875,0.875,1.0,0.875,0.9166666666666666,0.736111111111111
F,Italian,217bc211-db4a-48da-ba5d-2898104d8269,4,3,3,6,7,7,6,9,6,0.5,0.3333333333333333,0.3333333333333333,0.3888888888888888,0.625,0.75,0.75,0.625,1.0,0.625,0.7291666666666666,0.5590277777777777
A,Italian,217bc211-db4a-48da-ba5d-2898104d8269,6,6,2,4,5,5,5,9,5,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.6111111111111112,0.375,0.5,0.5,0.5,1.0,0.5,0.5625,0.5868055555555556
B,Italian,217bc211-db4a-48da-ba5d-2898104d8269,3,3,6,7,6,8,5,8,6,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.75,0.625,0.875,0.5,0.875,0.625,0.7083333333333334,0.6041666666666667
B,Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,1,1,3,6,8,7,6,9,9,0.0,0.0,0.3333333333333333,0.1111111111111111,0.625,0.875,0.75,0.625,1.0,1.0,0.8125,0.4618055555555556
F,Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,3,4,5,7,7,8,5,7,8,0.3333333333333333,0.5,0.6666666666666666,0.5,0.75,0.75,0.875,0.5,0.75,0.875,0.75,0.625
A,Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,3,3,3,7,6,6,4,7,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.625,0.625,0.375,0.75,0.75,0.6458333333333334,0.4895833333333333
B,Italian,703587b0-27fd-4a67-844b-5393d2523a08,2,2,3,5,4,9,6,5,4,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.375,1.0,0.625,0.5,0.375,0.5625,0.3923611111111111
F,Italian,703587b0-27fd-4a67-844b-5393d2523a08,6,6,5,8,9,9,8,8,8,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.875,1.0,1.0,0.875,0.875,0.875,0.9166666666666666,0.8472222222222222
A,Italian,703587b0-27fd-4a67-844b-5393d2523a08,6,6,4,5,8,9,6,6,6,0.8333333333333334,0.8333333333333334,0.5,0.7222222222222223,0.5,0.875,1.0,0.625,0.625,0.625,0.7083333333333334,0.7152777777777779
B,German,48fb29b4-5b1d-421c-baca-aad711d9b983,5,5,5,6,7,7,6,6,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.75,0.75,0.625,0.625,0.5,0.6458333333333334,0.65625
A,German,48fb29b4-5b1d-421c-baca-aad711d9b983,5,5,3,5,4,5,6,4,5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555555,0.5,0.375,0.5,0.625,0.375,0.5,0.4791666666666667,0.517361111111111
F,German,48fb29b4-5b1d-421c-baca-aad711d9b983,5,5,6,7,7,7,6,7,7,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7222222222222222,0.75,0.75,0.75,0.625,0.75,0.75,0.7291666666666666,0.7256944444444444
A,Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,2,2,4,6,8,8,7,7,7,0.1666666666666666,0.1666666666666666,0.5,0.2777777777777777,0.625,0.875,0.875,0.75,0.75,0.75,0.7708333333333334,0.5243055555555556
B,Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,3,3,3,7,6,8,7,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.625,0.875,0.75,0.875,0.875,0.7916666666666666,0.5625
F,Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,3,3,4,6,7,7,6,8,7,0.3333333333333333,0.3333333333333333,0.5,0.3888888888888888,0.625,0.75,0.75,0.625,0.875,0.75,0.7291666666666666,0.5590277777777777
F,German,c518959a-629d-41c5-9c57-13d23114062a,5,6,4,7,7,7,6,9,7,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.75,0.75,0.75,0.625,1.0,0.75,0.7708333333333334,0.71875
A,German,c518959a-629d-41c5-9c57-13d23114062a,5,5,5,5,4,3,3,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.375,0.25,0.25,0.5,0.5,0.3958333333333333,0.53125
B,German,c518959a-629d-41c5-9c57-13d23114062a,6,6,7,7,8,8,7,8,7,0.8333333333333334,0.8333333333333334,1.0,0.888888888888889,0.75,0.875,0.875,0.75,0.875,0.75,0.8125,0.8506944444444444
A,Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,1,1,3,7,9,6,6,5,5,0.0,0.0,0.3333333333333333,0.1111111111111111,0.75,1.0,0.625,0.625,0.5,0.5,0.6666666666666666,0.3888888888888888
B,Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,1,3,2,6,7,8,6,6,6,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.625,0.75,0.875,0.625,0.625,0.625,0.6875,0.4270833333333333
F,Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,1,2,3,6,7,6,6,6,6,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.625,0.75,0.625,0.625,0.625,0.625,0.6458333333333334,0.40625
F,German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,3,3,3,4,6,4,4,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.625,0.375,0.375,0.25,0.25,0.375,0.3541666666666666
B,German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,2,2,1,3,5,4,3,3,3,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.25,0.5,0.375,0.25,0.25,0.25,0.3125,0.2118055555555555
A,German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,3,2,2,2,5,5,3,4,2,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.2222222222222222,0.125,0.5,0.5,0.25,0.375,0.125,0.3125,0.2673611111111111
A,German,47297d3c-5468-40a0-aa44-6323d590253c,5,6,7,8,9,9,8,8,7,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.875,1.0,1.0,0.875,0.875,0.75,0.8958333333333334,0.8645833333333334
B,German,47297d3c-5468-40a0-aa44-6323d590253c,7,7,6,9,9,9,9,8,8,1.0,1.0,0.8333333333333334,0.9444444444444444,1.0,1.0,1.0,1.0,0.875,0.875,0.9583333333333334,0.951388888888889
F,German,47297d3c-5468-40a0-aa44-6323d590253c,4,5,4,5,3,3,5,4,4,0.5,0.6666666666666666,0.5,0.5555555555555555,0.5,0.25,0.25,0.5,0.375,0.375,0.375,0.4652777777777777
F,German,306ce31e-7894-4635-86a2-db5a2e2aee61,2,2,1,4,5,6,3,6,3,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.375,0.5,0.625,0.25,0.625,0.25,0.4375,0.2743055555555556
A,German,306ce31e-7894-4635-86a2-db5a2e2aee61,2,2,3,3,7,8,3,7,4,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.25,0.75,0.875,0.25,0.75,0.375,0.5416666666666666,0.3819444444444444
B,German,306ce31e-7894-4635-86a2-db5a2e2aee61,1,3,2,6,3,6,3,6,5,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.625,0.25,0.625,0.25,0.625,0.5,0.4791666666666667,0.3229166666666667
B,German,872acdf7-1623-4b13-a37d-e25032e12d76,1,1,2,3,6,5,4,4,5,0.0,0.0,0.1666666666666666,0.0555555555555555,0.25,0.625,0.5,0.375,0.375,0.5,0.4375,0.2465277777777778
F,German,872acdf7-1623-4b13-a37d-e25032e12d76,2,1,1,4,7,3,5,5,4,0.1666666666666666,0.0,0.0,0.0555555555555555,0.375,0.75,0.25,0.5,0.5,0.375,0.4583333333333333,0.2569444444444444
A,German,872acdf7-1623-4b13-a37d-e25032e12d76,1,2,1,4,5,4,3,6,3,0.0,0.1666666666666666,0.0,0.0555555555555555,0.375,0.5,0.375,0.25,0.625,0.25,0.3958333333333333,0.2256944444444444
B,German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,1,2,4,5,7,6,6,6,6,0.0,0.1666666666666666,0.5,0.2222222222222222,0.5,0.75,0.625,0.625,0.625,0.625,0.625,0.4236111111111111
F,German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,1,2,3,5,4,3,4,5,4,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.5,0.375,0.25,0.375,0.5,0.375,0.3958333333333333,0.28125
A,German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,1,2,3,4,4,5,5,6,5,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.375,0.375,0.5,0.5,0.625,0.5,0.4791666666666667,0.3229166666666667
B,German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,4,5,3,6,4,6,6,7,6,0.5,0.6666666666666666,0.3333333333333333,0.4999999999999999,0.625,0.375,0.625,0.625,0.75,0.625,0.6041666666666666,0.5520833333333333
F,German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,3,4,3,4,7,7,5,7,6,0.3333333333333333,0.5,0.3333333333333333,0.3888888888888888,0.375,0.75,0.75,0.5,0.75,0.625,0.625,0.5069444444444444
A,German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,2,3,4,4,4,6,4,6,4,0.1666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.375,0.375,0.625,0.375,0.625,0.375,0.4583333333333333,0.3958333333333333
A,German,38f76f66-888f-46ad-8272-4a7e2d198c2a,3,2,3,4,3,5,3,5,5,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.375,0.25,0.5,0.25,0.5,0.5,0.3958333333333333,0.3368055555555555
F,German,38f76f66-888f-46ad-8272-4a7e2d198c2a,3,3,3,4,6,5,5,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.625,0.5,0.5,0.625,0.625,0.5416666666666666,0.4375
B,German,38f76f66-888f-46ad-8272-4a7e2d198c2a,3,4,4,5,8,7,7,8,7,0.3333333333333333,0.5,0.5,0.4444444444444444,0.5,0.875,0.75,0.75,0.875,0.75,0.75,0.5972222222222222
A,Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,5,4,3,6,5,7,4,6,7,0.6666666666666666,0.5,0.3333333333333333,0.4999999999999999,0.625,0.5,0.75,0.375,0.625,0.75,0.6041666666666666,0.5520833333333333
B,Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,6,6,6,8,8,9,8,7,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,1.0,0.875,0.75,0.75,0.8541666666666666,0.84375
F,Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,6,6,6,8,8,7,7,7,8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.75,0.75,0.75,0.875,0.8125,0.8229166666666667
B,Italian,14f09597-b462-4377-bc8c-ee9f84738755,3,4,2,5,4,6,4,7,5,0.3333333333333333,0.5,0.1666666666666666,0.3333333333333333,0.5,0.375,0.625,0.375,0.75,0.5,0.5208333333333334,0.4270833333333333
F,Italian,14f09597-b462-4377-bc8c-ee9f84738755,6,6,7,8,8,9,8,8,8,0.8333333333333334,0.8333333333333334,1.0,0.888888888888889,0.875,0.875,1.0,0.875,0.875,0.875,0.8958333333333334,0.8923611111111112
A,Italian,14f09597-b462-4377-bc8c-ee9f84738755,5,5,4,6,6,8,6,8,6,0.6666666666666666,0.6666666666666666,0.5,0.611111111111111,0.625,0.625,0.875,0.625,0.875,0.625,0.7083333333333334,0.6597222222222222
A,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,1,2,3,3,3,3,3,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.125,0.25,0.25,0.25,0.25,0.25,0.2291666666666666,0.1701388888888889
B,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,3,4,4,4,4,3,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.25,0.375,0.375,0.375,0.375,0.25,0.3333333333333333,0.25
F,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,5,5,5,5,5,4,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.5,0.5,0.5,0.5,0.375,0.4791666666666667,0.3229166666666667
A,German,6df4a0d4-25f8-469c-b4e0-03d254d49444,3,3,2,6,5,4,6,6,7,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2777777777777777,0.625,0.5,0.375,0.625,0.625,0.75,0.5833333333333334,0.4305555555555556
B,German,6df4a0d4-25f8-469c-b4e0-03d254d49444,4,2,4,4,6,7,5,7,4,0.5,0.1666666666666666,0.5,0.3888888888888888,0.375,0.625,0.75,0.5,0.75,0.375,0.5625,0.4756944444444444
F,German,6df4a0d4-25f8-469c-b4e0-03d254d49444,3,2,3,5,6,6,6,6,4,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.5,0.625,0.625,0.625,0.625,0.375,0.5625,0.4201388888888888
B,Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,2,2,5,6,8,7,7,6,7,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.625,0.875,0.75,0.75,0.625,0.75,0.7291666666666666,0.53125
A,Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,4,4,5,8,9,9,8,9,8,0.5,0.5,0.6666666666666666,0.5555555555555555,0.875,1.0,1.0,0.875,1.0,0.875,0.9375,0.7465277777777777
F,Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,4,4,5,8,6,8,7,9,9,0.5,0.5,0.6666666666666666,0.5555555555555555,0.875,0.625,0.875,0.75,1.0,1.0,0.8541666666666666,0.704861111111111
F,German,bace0f65-c427-49a3-b91f-82b51bd6547c,1,1,1,2,2,3,2,2,3,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.125,0.125,0.25,0.1666666666666666,0.0833333333333333
A,German,bace0f65-c427-49a3-b91f-82b51bd6547c,2,2,2,5,6,5,4,5,4,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.625,0.5,0.375,0.5,0.375,0.4791666666666667,0.3229166666666667
B,German,bace0f65-c427-49a3-b91f-82b51bd6547c,2,1,3,4,6,6,4,5,4,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.375,0.625,0.625,0.375,0.5,0.375,0.4791666666666667,0.3229166666666667
B,German,14d250d1-b72e-404d-8fd4-894c0d375599,1,4,1,4,6,4,6,3,4,0.0,0.5,0.0,0.1666666666666666,0.375,0.625,0.375,0.625,0.25,0.375,0.4375,0.3020833333333333
F,German,14d250d1-b72e-404d-8fd4-894c0d375599,2,2,3,4,4,4,6,4,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.375,0.375,0.375,0.625,0.375,0.625,0.4583333333333333,0.3402777777777778
A,German,14d250d1-b72e-404d-8fd4-894c0d375599,2,2,2,3,2,3,2,5,3,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.25,0.125,0.25,0.125,0.5,0.25,0.25,0.2083333333333333
A,German,7136f1af-5dd3-4449-8119-25485f011a03,1,2,4,7,4,5,3,3,4,0.0,0.1666666666666666,0.5,0.2222222222222222,0.75,0.375,0.5,0.25,0.25,0.375,0.4166666666666667,0.3194444444444444
F,German,7136f1af-5dd3-4449-8119-25485f011a03,2,2,5,4,6,6,3,4,6,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.375,0.625,0.625,0.25,0.375,0.625,0.4791666666666667,0.40625
B,German,7136f1af-5dd3-4449-8119-25485f011a03,2,1,3,2,6,4,4,4,3,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.125,0.625,0.375,0.375,0.375,0.25,0.3541666666666667,0.2604166666666667
F,Italian,d02ae4e0-ac06-4732-9f34-1a4c90ae176d,1,1,2,4,6,8,5,4,4,0.0,0.0,0.1666666666666666,0.0555555555555555,0.375,0.625,0.875,0.5,0.375,0.375,0.5208333333333334,0.2881944444444445
A,Italian,d02ae4e0-ac06-4732-9f34-1a4c90ae176d,1,1,1,4,4,5,4,3,4,0.0,0.0,0.0,0.0,0.375,0.375,0.5,0.375,0.25,0.375,0.375,0.1875
B,Italian,d02ae4e0-ac06-4732-9f34-1a4c90ae176d,2,1,2,5,5,7,6,5,6,0.1666666666666666,0.0,0.1666666666666666,0.1111111111111111,0.5,0.5,0.75,0.625,0.5,0.625,0.5833333333333334,0.3472222222222222
F,Italian,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,3,3,2,6,6,8,7,8,8,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2777777777777777,0.625,0.625,0.875,0.75,0.875,0.875,0.7708333333333334,0.5243055555555556
B,Italian,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,3,3,3,8,8,7,8,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.875,0.875,0.75,0.875,0.875,0.875,0.8541666666666666,0.59375
A,Italian,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,3,3,2,8,5,7,6,8,7,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2777777777777777,0.875,0.5,0.75,0.625,0.875,0.75,0.7291666666666666,0.5034722222222222
B,German,b2c312b6-1a91-468d-ae87-0e2da33c9c14,3,5,3,6,9,5,6,7,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.625,1.0,0.5,0.625,0.75,0.625,0.6875,0.5659722222222222
F,German,b2c312b6-1a91-468d-ae87-0e2da33c9c14,4,2,3,5,8,2,4,5,5,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.875,0.125,0.375,0.5,0.5,0.4791666666666667,0.40625
A,German,b2c312b6-1a91-468d-ae87-0e2da33c9c14,4,2,2,4,6,1,3,3,4,0.5,0.1666666666666666,0.1666666666666666,0.2777777777777777,0.375,0.625,0.0,0.25,0.25,0.375,0.3125,0.2951388888888888
B,German,7719d904-e3b3-4a09-8390-2c4d8b90742d,2,2,3,6,7,7,8,7,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.625,0.75,0.75,0.875,0.75,0.625,0.7291666666666666,0.4756944444444444
A,German,7719d904-e3b3-4a09-8390-2c4d8b90742d,3,4,5,3,2,2,2,6,4,0.3333333333333333,0.5,0.6666666666666666,0.5,0.25,0.125,0.125,0.125,0.625,0.375,0.2708333333333333,0.3854166666666666
F,German,7719d904-e3b3-4a09-8390-2c4d8b90742d,5,4,5,8,8,8,6,8,7,0.6666666666666666,0.5,0.6666666666666666,0.611111111111111,0.875,0.875,0.875,0.625,0.875,0.75,0.8125,0.7118055555555556
A,Italian,c30ad8f9-b019-40fb-8b64-21d806e4017e,3,4,4,7,8,7,8,9,6,0.3333333333333333,0.5,0.5,0.4444444444444444,0.75,0.875,0.75,0.875,1.0,0.625,0.8125,0.6284722222222222
B,Italian,c30ad8f9-b019-40fb-8b64-21d806e4017e,3,4,3,8,6,8,7,8,6,0.3333333333333333,0.5,0.3333333333333333,0.3888888888888888,0.875,0.625,0.875,0.75,0.875,0.625,0.7708333333333334,0.5798611111111112
F,Italian,c30ad8f9-b019-40fb-8b64-21d806e4017e,4,4,5,6,8,7,6,8,5,0.5,0.5,0.6666666666666666,0.5555555555555555,0.625,0.875,0.75,0.625,0.875,0.5,0.7083333333333334,0.6319444444444444
B,Italian,f10b68c7-a5cb-40ed-bba7-c35be2a822ba,1,2,2,4,6,7,3,8,5,0.0,0.1666666666666666,0.1666666666666666,0.1111111111111111,0.375,0.625,0.75,0.25,0.875,0.5,0.5625,0.3368055555555556
A,Italian,f10b68c7-a5cb-40ed-bba7-c35be2a822ba,1,1,1,7,7,2,8,8,8,0.0,0.0,0.0,0.0,0.75,0.75,0.125,0.875,0.875,0.875,0.7083333333333334,0.3541666666666667
F,Italian,f10b68c7-a5cb-40ed-bba7-c35be2a822ba,2,4,2,7,5,8,3,6,7,0.1666666666666666,0.5,0.1666666666666666,0.2777777777777777,0.75,0.5,0.875,0.25,0.625,0.75,0.625,0.4513888888888888
A,German,a94aa824-023e-4ea5-b19d-759d1e0c89d0,1,1,2,3,5,4,3,7,3,0.0,0.0,0.1666666666666666,0.0555555555555555,0.25,0.5,0.375,0.25,0.75,0.25,0.3958333333333333,0.2256944444444444
B,German,a94aa824-023e-4ea5-b19d-759d1e0c89d0,1,1,2,3,4,4,4,7,3,0.0,0.0,0.1666666666666666,0.0555555555555555,0.25,0.375,0.375,0.375,0.75,0.25,0.3958333333333333,0.2256944444444444
F,German,a94aa824-023e-4ea5-b19d-759d1e0c89d0,1,1,2,3,3,4,3,5,3,0.0,0.0,0.1666666666666666,0.0555555555555555,0.25,0.25,0.375,0.25,0.5,0.25,0.3125,0.1840277777777778
A,German,e81a5e00-04a4-4a7d-99cb-8db952ea7448,3,2,2,3,3,3,2,5,3,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.2222222222222222,0.25,0.25,0.25,0.125,0.5,0.25,0.2708333333333333,0.2465277777777777
F,German,e81a5e00-04a4-4a7d-99cb-8db952ea7448,4,3,3,4,5,4,3,5,3,0.5,0.3333333333333333,0.3333333333333333,0.3888888888888888,0.375,0.5,0.375,0.25,0.5,0.25,0.375,0.3819444444444444
